iata_code,city,country,latitude,longitude,altitude,timezone,dst,aggregate_code
NYC,New York,United States,40.7142,-74.0058,31.0,-5.0,A,1.0
QSF,San Francisco,United States,,,,-8.0,,1.0
CHI,Chicago,United States,41.8836,-87.6317,596.0,-6.0,A,1.0
PAR,Paris,France,48.8564,2.35222,107.0,1.0,E,1.0
WAS,Washington,United States,38.8894,-77.0353,25.0,-5.0,A,1.0
LON,London,United Kingdom,51.5081,-0.127778,66.0,0.0,E,1.0
DFW,Dallas,United States,,,,-6.0,,1.0
HOU,Houston,United States,,,,-6.0,,1.0
BER,Berlin,Germany,,,,1.0,,1.0
MOW,Moscow,Russia,,,,3.0,,1.0
IST,Istanbul,Turkey,,,,2.0,,1.0
DUS,Duesseldorf,Germany,,,,1.0,,1.0
FRA,Frankfurt,Germany,,,,1.0,,1.0
GLA,Glasgow,United Kingdom,,,,0.0,,1.0
BFS,Belfast,United Kingdom,,,,0.0,,1.0
BRU,Brussels,Belgium,,,,1.0,,1.0
ROM,Rome,Italy,,,,1.0,,1.0
MIL,Milan,Italy,,,,1.0,,1.0
STO,Stockholm,Sweden,,,,1.0,,1.0
OSL,Oslo,Norway,,,,1.0,,1.0
WAW,Warsaw,Poland,,,,1.0,,1.0
TCI,Tenerife,Spain,,,,0.0,,1.0
IEV,Kiev,Ukraine,,,,2.0,,1.0
ATL,Atlanta,United States,33.6367,-84.4281,1026.0,-5.0,A,0.0
TPA,Tampa,United States,,,,-5.0,,1.0
MIA,Miami,United States,,,,-5.0,,1.0
DEN,Denver,United States,39.8617,-104.673,5431.0,-7.0,A,0.0
OSA,Osaka,Japan,,,,9.0,,1.0
BOS,Boston,United States,42.3643,-71.0052,19.0,-5.0,A,0.0
LAX,Los Angeles,United States,33.9425,-118.408,126.0,-8.0,A,0.0
QLA,Los Angeles Metro Area,United States,,,,-8.0,,1.0
ORL,Orlando,United States,,,,-5.0,,1.0
LAS,Las Vegas,United States,36.0801,-115.152,2141.0,-8.0,A,0.0
DFW,Dallas-Fort Worth,United States,32.8968,-97.038,607.0,-6.0,A,0.0
RIO,Rio de Janeiro,Brazil,,,,-2.0,,1.0
SAO,São Paulo,Brazil,,,,-3.0,,1.0
JFK,New York,United States,40.6398,-73.7789,13.0,-5.0,A,0.0
EWR,Newark,United States,40.6925,-74.1687,18.0,-5.0,A,0.0
ANK,Ankara,Turkey,,,,2.0,,1.0
SEL,Seoul,South Korea,,,,9.0,,1.0
IAD,Washington,United States,38.9445,-77.4558,313.0,-5.0,A,0.0
DCA,Washington,United States,38.8521,-77.0377,15.0,-5.0,A,0.0
LGA,New York,United States,40.7772,-73.8726,22.0,-5.0,A,0.0
BUE,Buenos Aires,Argentina,,,,-3.0,,1.0
MCO,Orlando,United States,28.4294,-81.309,96.0,-5.0,A,0.0
BJS,Beijing,China,,,,8.0,,1.0
MIA,Miami,United States,25.7932,-80.2906,8.0,-5.0,A,0.0
BUH,Bucharest,Romania,,,,2.0,,1.0
DTW,Detroit,United States,42.2124,-83.3534,645.0,-5.0,A,0.0
JKT,Jakarta,Indonesia,,,,7.0,,1.0
JNB,Johannesburg,South Africa,,,,2.0,,1.0
HNL,Honolulu,United States,21.3187,-157.922,13.0,-10.0,N,0.0
KUL,Kuala Lumpur,Malaysia,,,,8.0,,1.0
AUS,Austin,United States,30.1945,-97.6699,542.0,-6.0,A,0.0
ORD,Chicago,United States,41.9786,-87.9048,668.0,-6.0,A,0.0
PHX,Phoenix,United States,,,,-7.0,,1.0
BNA,Nashville,United States,36.1245,-86.6782,599.0,-6.0,A,0.0
TYO,Tokyo,Japan,,,,9.0,,1.0
YTO,Toronto,Canada,,,,-5.0,,1.0
